symbol,date,price
population,Jan 2005,640064
population,Jan 2006,640961
population,Jan 2007,640150
population,Jan 2008,638091
population,Jan 2009,637418
population,Jan 2010,621210
population,Jan 2011,620987
population,Jan 2012,622417
population,Jan 2013,622104
income,Jan 2005,68548
income,Jan 2006,70488
income,Jan 2007,71565
income,Jan 2008,71538
income,Jan 2009,71017
income,Jan 2010,69245
income,Jan 2011,67801
income,Jan 2012,67943
income,Jan 2013,68455
crime,Jan 2005,1674.2
crime,Jan 2006,1647.6
crime,Jan 2007,1582
crime,Jan 2008,1522
crime,Jan 2009,1444.9
crime,Jan 2010,1370.6
crime,Jan 2011,1292.4
crime,Jan 2012,1242.5
crime,Jan 2013,1266.6
