time,states,fscale,inj,fat,loss,slat,slon,elat,elon,length,width,city
4/5/05 13:33,GA,25,25,25,25,33.7677129,-84.420604,39.2847064,-76.6204859,50,25,Atlanta
4/5/05 13:34,MD,24,24,24,24,39.2847064,-76.6204859,30.441474,-91.1114186,50,24,Baltimore
4/5/06 13:35,LA,23,23,23,23,30.441474,-91.1114186,33.5312374,-86.850137,50,23,Baton Rouge
4/5/06 13:36,AL,22,22,22,22,33.5312374,-86.850137,42.8962389,-78.854702,50,22,Birmingham
4/5/06 13:37,NY,21,21,21,21,42.8962389,-78.854702,35.180462,-84.8816744,50,21,Buffalo
4/5/06 13:38,TN,20,20,20,20,35.180462,-84.8816744,42.352711,-83.099205,50,20,Cleveland
4/5/06 13:39,MI,19,19,19,19,42.352711,-83.099205,43.012486,-83.6964149,50,19,Detroit
4/5/06 13:40,MI,18,18,18,18,43.012486,-83.6964149,41.7656874,-72.680087,50,18,Flint
4/5/06 13:41,CT,17,17,17,17,41.7656874,-72.680087,39.7797845,-86.13275,50,17,Hartford
4/5/06 13:42,IN,16,16,16,16,39.7797845,-86.13275,39.091919,-94.5757195,50,16,Indianapolis
4/5/07 13:43,MO,15,15,15,15,39.091919,-94.5757195,34.7240049,-92.3379275,50,15,Kansas City
4/5/07 13:44,AR,14,14,14,14,34.7240049,-92.3379275,35.129186,-89.970787,50,14,Little Rock
4/5/07 13:45,TN,13,13,13,13,35.129186,-89.970787,25.782324,-80.2310801,50,13,Memphis
4/5/07 13:46,FL,12,12,12,12,25.782324,-80.2310801,36.1866405,-86.7852455,50,12,Miami
4/5/07 13:47,TN,11,11,11,11,36.1866405,-86.7852455,41.298319,-72.9290959,50,11,Nashville
4/5/07 13:48,CT,10,10,10,10,41.298319,-72.9290959,40.7313409,-74.1820554,50,10,New Haven
4/5/07 13:49,NJ,9,9,9,9,40.7313409,-74.1820554,37.7919615,-122.2287941,50,9,Newark
4/5/10 13:50,CA,8,8,8,8,37.7919615,-122.2287941,28.4811689,-81.36875,50,8,Oakland
4/5/10 13:51,FL,7,7,7,7,28.4811689,-81.36875,40.0047528,-75.1180329,50,7,Orlando
4/5/10 13:52,PA,6,6,6,6,40.0047528,-75.1180329,42.2529775,-89.0680595,50,6,Philadelphia
4/5/10 13:53,IL,5,5,5,5,42.2529775,-89.0680595,39.7638375,-89.6708313,50,5,Rockford
4/5/10 13:54,IL,4,4,4,4,39.7638375,-89.6708313,38.6531004,-90.243462,50,4,Springfield
4/5/10 13:55,MO,3,3,3,3,38.6531004,-90.243462,37.9730234,-121.3018775,50,3,St. Louis
4/5/10 13:56,CA,2,2,2,2,37.9730234,-121.3018775,38.8993488,-77.0145665,50,2,Stockton
4/5/10 13:57,DC,1,1,1,1,38.8993488,-77.0145665,38.8993488,-77.0145665,50,1,Washington
